pais,inicio,fin,dias,n_notif,n_extensiones,regimen,fuentes,cerrado_explicito
Argentina,1989-06-07,1989-07-12,35,2,1,estado de sitio,ONU,1
Argentina,2001-12-26,2002-01-04,9,2,1,estado de sitio,ONU,1
Argentina,2002-01-21,2002-01-21,0,1,0,estado de sitio,ONU,1
Argentina,2020-03-27,2021-11-03,586,26,25,suspensión de garantías,OEA+ONU,0
Argentina,2021-12-21,2022-02-04,45,2,1,suspensión de garantías,OEA,0
Bolivia,2010-03-08,2010-03-08,0,1,0,estado de emergencia,ONU,1
Bolivia,2020-03-25,2020-07-31,128,5,4,suspensión de garantías,OEA,0
Bolivia,2026-06-21,2026-07-21,30,1,0,estado de excepción,OEA,0
Chile,1976-09-07,1976-10-07,30,1,0,estado de sitio,ONU,0
Chile,1986-09-23,1986-10-29,36,2,1,estado de sitio,ONU,1
Chile,1986-11-20,1986-11-20,0,1,0,estado de sitio,ONU,1
Chile,1987-01-29,1987-01-29,0,1,0,estado de sitio,ONU,1
Chile,1988-08-31,1988-08-31,0,1,0,estado de emergencia,ONU,1
Chile,2010-03-23,2010-04-22,30,1,0,estado de emergencia,ONU,0
Chile,2019-10-21,2019-11-20,30,1,0,estado de excepción,OEA,0
Chile,2020-03-25,2020-04-24,30,1,0,estado de emergencia,OEA+ONU,0
Chile,2020-06-18,2020-07-18,30,1,0,estado de excepción,OEA+ONU,0
Chile,2020-09-17,2020-10-17,30,1,0,estado de emergencia,OEA+ONU,0
Chile,2020-12-17,2021-01-16,30,1,0,estado de excepción,OEA+ONU,0
Chile,2021-10-29,2022-04-06,159,8,7,estado de excepción,OEA,0
Chile,2023-08-08,2023-11-11,95,2,1,estado de excepción,OEA+ONU,0
Chile,2023-12-28,2025-03-29,457,10,9,estado de emergencia,OEA+ONU,0
Chile,2025-05-30,2025-06-29,30,1,0,estado de excepción,OEA,0
Chile,2025-09-08,2026-06-07,272,8,7,estado de excepción,OEA+ONU,0
Colombia,1980-07-18,1980-07-18,0,1,0,estado de sitio,ONU,1
Colombia,1982-10-11,1982-10-11,0,1,0,estado de sitio,ONU,1
Colombia,1984-04-11,1984-07-08,88,2,1,estado de sitio,ONU,0
Colombia,1984-12-12,1984-12-12,0,1,0,estado de sitio,ONU,1
Colombia,1991-08-13,1991-08-13,0,1,0,estado de sitio,ONU,1
Colombia,1992-07-21,1992-08-20,30,1,0,estado de emergencia,ONU,0
Colombia,1992-11-20,1992-12-20,30,1,0,estado de emergencia,ONU,0
Colombia,1993-03-29,1993-04-28,30,1,0,estado de emergencia,ONU,0
Colombia,1994-05-27,1994-06-08,12,2,1,estado de emergencia,ONU,1
Colombia,1995-11-07,1995-12-07,30,1,0,estado de emergencia,ONU,0
Colombia,1996-03-25,1996-08-30,158,4,3,estado de emergencia,ONU,0
Colombia,2002-08-13,2002-09-12,30,1,0,estado de emergencia,ONU,0
Colombia,2002-11-19,2002-12-19,30,1,0,estado de emergencia,ONU,0
Colombia,2003-02-25,2003-03-27,30,1,0,estado de emergencia,ONU,0
Colombia,2008-10-16,2008-11-15,30,1,0,estado de emergencia,ONU,0
Colombia,2010-08-31,2010-09-30,30,1,0,estado de emergencia,ONU,0
Colombia,2015-10-23,2015-11-22,30,1,0,estado de emergencia,OEA,0
Colombia,2020-03-19,2020-06-04,77,8,7,estado de excepción,OEA+ONU,1
Colombia,2020-06-12,2020-07-12,30,1,0,estado de emergencia,OEA,0
Colombia,2023-07-04,2023-08-31,58,2,1,estado de emergencia,OEA,0
Colombia,2025-01-24,2025-05-24,120,5,4,estado de excepción,OEA,0
Colombia,2025-12-23,2026-05-22,150,6,5,estado de emergencia,OEA,0
Ecuador,1983-05-12,1983-05-12,0,1,0,estado de emergencia,ONU,1
Ecuador,1984-03-20,1984-03-29,9,2,1,estado de emergencia,ONU,1
Ecuador,1986-03-17,1986-03-17,0,1,0,estado de emergencia,ONU,1
Ecuador,1987-10-29,1987-10-29,0,1,0,estado de emergencia,ONU,1
Ecuador,1988-06-03,1988-06-03,0,1,0,estado de emergencia,ONU,1
Ecuador,1999-01-14,1999-04-12,88,3,2,estado de emergencia,ONU,1
Ecuador,1999-09-10,1999-10-10,30,1,0,estado de emergencia,ONU,0
Ecuador,1999-12-28,2000-02-01,35,2,1,estado de emergencia,ONU,1
Ecuador,2002-07-17,2002-07-17,0,1,0,estado de emergencia,ONU,1
Ecuador,2005-08-18,2005-09-17,30,1,0,estado de emergencia,ONU,0
Ecuador,2006-04-18,2006-05-18,30,1,0,estado de emergencia,ONU,0
Ecuador,2016-04-19,2016-08-17,120,3,2,estado de excepción,OEA+ONU,0
Ecuador,2016-11-11,2017-04-14,154,6,5,estado de excepción,OEA+ONU,0
Ecuador,2017-06-01,2017-07-01,30,1,0,estado de emergencia,ONU,0
Ecuador,2018-01-03,2018-05-30,147,4,3,estado de emergencia,OEA+ONU,0
Ecuador,2019-07-03,2019-12-13,163,5,4,estado de excepción,OEA+ONU,0
Ecuador,2020-03-17,2021-01-13,302,7,6,estado de excepción,OEA+ONU,1
Ecuador,2021-04-02,2021-05-22,50,2,1,estado de excepción,OEA+ONU,0
Ecuador,2021-07-16,2021-12-22,159,5,4,estado de excepción,OEA+ONU,0
Ecuador,2022-06-18,2022-12-02,167,7,6,estado de emergencia,OEA+ONU,0
Ecuador,2023-03-07,2023-05-10,64,2,1,estado de excepción,OEA+ONU,0
Ecuador,2023-07-27,2023-11-10,106,3,2,estado de excepción,OEA+ONU,0
Ecuador,2024-01-09,2024-11-02,298,10,9,suspensión de garantías,OEA+ONU,0
Ecuador,2025-01-03,2025-02-02,30,1,0,estado de excepción,OEA+ONU,0
Ecuador,2025-04-15,2026-07-17,458,13,12,estado de excepción,OEA+ONU,0
El Salvador,1983-11-14,1983-12-14,30,1,0,suspensión de garantías,ONU,0
El Salvador,1984-06-18,1984-07-18,30,1,0,suspensión de garantías,ONU,0
El Salvador,1985-08-02,1985-09-01,30,1,0,ley marcial,ONU,0
El Salvador,1989-12-19,1990-01-18,30,1,0,suspensión de garantías,ONU,0
El Salvador,2020-04-01,2020-06-20,80,4,3,suspensión de garantías,OEA+ONU,0
El Salvador,2022-03-27,2026-06-27,1553,48,47,régimen de excepción,OEA+ONU,0
Guatemala,1998-11-23,1998-12-23,30,1,0,derogación PIDCP,ONU,0
Guatemala,2001-07-26,2001-09-09,45,2,1,estado de emergencia,ONU,0
Guatemala,2005-10-14,2005-11-13,30,1,0,estado de emergencia,ONU,0
Guatemala,2006-09-05,2006-09-18,13,2,1,estado de emergencia,ONU,1
Guatemala,2006-12-18,2007-01-17,30,1,0,estado de emergencia,ONU,0
Guatemala,2008-05-09,2008-07-24,76,3,2,estado de emergencia,ONU,0
Guatemala,2008-10-14,2008-11-13,30,1,0,estado de emergencia,ONU,0
Guatemala,2009-04-27,2009-05-07,10,2,1,estado de emergencia,ONU,1
Guatemala,2009-05-20,2009-05-20,0,1,0,estado de emergencia,ONU,1
Guatemala,2010-02-08,2010-09-01,205,8,7,estado de emergencia,ONU,0
Guatemala,2010-12-28,2011-02-26,60,2,1,estado de sitio,ONU,0
Guatemala,2011-05-25,2011-11-19,178,7,6,estado de emergencia,ONU,0
Guatemala,2012-06-13,2012-06-13,0,1,0,estado de emergencia,ONU,1
Guatemala,2012-11-23,2013-03-29,126,4,3,estado de emergencia,ONU,0
Guatemala,2014-09-24,2014-11-10,47,3,2,estado de emergencia,ONU,1
Guatemala,2014-12-12,2015-01-11,30,1,0,suspensión de garantías,OEA,0
Guatemala,2016-08-02,2016-09-28,57,2,1,estado de emergencia,ONU,1
Guatemala,2017-05-19,2017-08-17,90,3,2,estado de emergencia,OEA+ONU,0
Guatemala,2019-09-06,2019-10-06,30,1,0,estado de sitio,OEA+ONU,0
Guatemala,2020-01-21,2021-02-18,394,17,16,suspensión de garantías,OEA+ONU,0
Guatemala,2021-04-07,2021-05-07,30,1,0,estado de emergencia,OEA+ONU,0
Guatemala,2021-08-18,2022-02-18,184,5,4,estado de calamidad,OEA+ONU,0
Guatemala,2022-06-09,2022-08-10,62,3,2,estado de sitio,OEA+ONU,0
Guatemala,2022-10-13,2022-11-12,30,1,0,estado de calamidad,OEA+ONU,0
Guatemala,2026-01-19,2026-06-05,137,7,6,estado de sitio,OEA+ONU,0
Honduras,2017-12-02,2018-01-12,41,2,1,suspensión de garantías,OEA,0
Honduras,2020-03-26,2020-08-05,132,4,3,estado de emergencia,OEA,0
Jamaica,2004-09-28,2004-09-28,0,1,0,estado de emergencia,ONU,1
Jamaica,2004-10-22,2004-10-22,0,1,0,estado de emergencia,ONU,1
Jamaica,2007-08-24,2007-08-24,0,1,0,estado de emergencia,ONU,1
Jamaica,2010-06-01,2010-06-01,0,1,0,estado de emergencia,ONU,1
Jamaica,2010-06-30,2010-07-30,30,1,0,estado de emergencia,ONU,0
Jamaica,2018-01-23,2018-02-22,30,1,0,estado de emergencia,OEA+ONU,0
Jamaica,2020-07-16,2020-08-15,30,1,0,state of emergency,OEA,0
Panamá,1987-06-21,1987-07-01,10,2,1,estado de emergencia,ONU,1
Panamá,2020-03-26,2020-11-26,245,6,5,estado de emergencia,OEA,0
Panamá,2021-04-19,2021-05-19,30,1,0,suspensión de garantías,OEA,0
Panamá,2025-06-24,2025-07-24,30,1,0,suspensión de garantías,OEA,0
