pais,fecha,anio,nota_no,fuente,url_pagina,url_pdf
Perú,2014-01-28,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-273.pdf
Perú,2014-06-18,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-271.pdf
Perú,2014-08-08,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-323.pdf
Perú,2014-09-19,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-359_eng.pdf
Perú,2014-11-07,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-357_eng.pdf
Guatemala,2014-12-12,2014,,notif_oea_art27,,
Perú,2015-02-04,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-374.pdf
Perú,2015-06-02,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-412.pdf
Perú,2015-10-21,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-412.pdf
Colombia,2015-10-23,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_No_1390-2015.pdf
Perú,2015-11-05,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-414.pdf
Perú,2015-12-11,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-412.pdf
Perú,2016-03-22,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-033_No_7-5M-035.pdf
Ecuador,2016-04-19,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-149-2016.pdf
Perú,2016-06-22,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-103_No_7-5-M-105_No_7-5-M-107.pdf
Perú,2016-07-19,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-132_No_7-5-M-134_No_7-5-M-136.pdf
Perú,2016-09-04,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-176_No_7-5-M-178.pdf
Perú,2016-11-02,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-216.pdf
Ecuador,2016-11-11,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-248-2016.pdf
Ecuador,2017-01-12,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No-T-02-SGJ-17-0163.pdf
Ecuador,2017-01-23,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No-T-02-SGJ-17-0162.pdf
Guatemala,2017-06-19,2017,,notif_oea_art27,,
Perú,2017-06-21,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-137.pdf
Perú,2017-06-27,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-167.pdf
Guatemala,2017-07-18,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_No_MV-M12-352-2017.pdf
Perú,2017-08-04,2017,7-5-M/165 y No. 7-5-M/167,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-165.pdf
Honduras,2017-12-02,2017,098/MHOEA/2017,notif_oea_art27,,
Honduras,2017-12-13,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Honduras_No_SG-098-MHOEA-2017.pdf
Perú,2018-01-16,2018,7-5-M/006,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-006.pdf
Jamaica,2018-01-24,2018,,notif_oea_art27,,
Ecuador,2018-03-30,2018,4-2-104-2018,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-104-2018.pdf
Ecuador,2018-04-30,2018,4-2-136-2018 con su respectivo anexo,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-136-2018.pdf
Perú,2018-05-22,2018,7-5-M/91,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-091.pdf
Perú,2019-01-16,2019,7-5-M/005,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-005.pdf
Perú,2019-05-02,2019,7-5-M/104,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-104.pdf
Ecuador,2019-07-03,2019,4-2-191-2019,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-210-2019.pdf
Ecuador,2019-07-17,2019,4-2-210-2019,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-295-2019.pdf
Perú,2019-07-23,2019,7-5-M/156,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-156_2019.pdf
Guatemala,2019-09-06,2019,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_MV-M12-No_461-2019.pdf
Perú,2019-10-04,2019,7-5-M/194,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-194-2019.pdf
Ecuador,2019-10-09,2019,4-2-307/2019,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-307-2019.pdf
Chile,2019-10-21,2019,155/19,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Chile_nota_No_155-2019.pdf
Perú,2019-10-25,2019,7-5-M/204,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-204_2019.pdf
Chile,2019-10-28,2019,162/19,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Chile_nota_No_162-2019.pdf
Ecuador,2019-11-13,2019,4-2-351/2019,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-351-2019.pdf
Perú,2019-12-20,2019,7-5-M/225 nota 7-5-M/225,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-225_2019.pdf
Guatemala,2020-01-21,2020,,notif_oea_art27,,
Ecuador,2020-03-17,2020,4-2-073/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-073-2020.pdf
Colombia,2020-03-19,2020,377/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_No_377-2020.pdf
Guatemala,2020-03-23,2020,Ref. NV-OEA-M4-No.182-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_182-2020.pdf
Ecuador,2020-03-24,2020,4-2-077/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-077-2020.pdf
Bolivia,2020-03-25,2020,MPB-OEA-NV085-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV085-20.pdf
Colombia,2020-03-25,2020,389/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_No_389-2020.pdf
Chile,2020-03-26,2020,032-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Chile_nota_No_32-2020.pdf
Panamá,2020-03-26,2020,PANA-OEA-7-121,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-121-2020.pdf
Honduras,2020-03-26,2020,056/MPHOEA/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Honduras_nota_No_56-2020.pdf
Bolivia,2020-03-26,2020,MPB-OEA-NV087-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV087-20.pdf
Argentina,2020-03-27,2020,039,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_39-2020.pdf
Guatemala,2020-03-27,2020,Ref. NV-OEA-M4-No.190-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_190-2020.pdf
