pais,fecha,anio,nota_no,fuente,url_pagina,url_pdf,decreto,tipo,base_legal,causa,plazo_dias,alcance,derechos,ocr_chars
Perú,2014-01-28,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-273.pdf,Decreto Supremo No. 045-2014,estado de emergencia,Art. 137 Constitución,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo No",14797
Perú,2014-06-18,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-271.pdf,DECRETO SUPREMO N* 048-2014,estado de emergencia,Art. 127 Constitución,,,subnacional: Huanta y La Mar del,"Internacional- en ocasión a remitir para su debido conocimiento, copia de los Decretos Supremos No",25346
Perú,2014-08-08,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-323.pdf,DECRETO SUPREMO N* 067-2014,estado de emergencia,Art. 137 Constitución,,,,Internacional de la Secretaría de Asuntos Jurídicos de la Secretaría General de la Organización de los Estados Americanos saluda muy atentamente a los Estados p,13820
Perú,2014-09-19,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-359_eng.pdf,Decreto Supremo No. 065-2014,estado de emergencia,Art. 137 Constitución,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo No",8278
Perú,2014-11-07,2014,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-357_eng.pdf,DECRETO SUPREMO N* 060-2014,estado de emergencia,,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia de los Decretos Supremos No",15615
Guatemala,2014-12-12,2014,,notif_oea_art27,,,,,,,,,,0
Perú,2015-02-04,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-374.pdf,Decreto Supremo N* 035-2015,estado de emergencia,Art. 137 Constitución,desastre/salud,,subnacional: Huanta y La,"Internacional- en ocasión a remitir para su debido conocimiento, copia de los Decretos Supremos N* 047- 2014-PCM y 062-2015-PCM publicados el 16 de julio y el 1",28798
Perú,2015-06-02,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-412.pdf,Decreto Supremo N* 077-2015,estado de emergencia,Art. 44 Constitución,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo N* 077-2015-PCM publicado el 12 de noviembre de 2015, mediante el cua",7326
Perú,2015-10-21,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-412.pdf,Decreto Supremo N* 077-2015,estado de emergencia,Art. 44 Constitución,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo N* 077-2015-PCM publicado el 12 de noviembre de 2015, mediante el cua",7326
Colombia,2015-10-23,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_No_1390-2015.pdf,Decreto No. 1979,estado de emergencia,Art. 215 Constitución,,,subnacional: La Jagua del,Humanos y el artículo 4 del Pacto Internacional de Derechos Civiles y Políticos se ha expedido el día 6 de octubre de 2015 el Decreto No,10123
Perú,2015-11-05,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-414.pdf,Decreto Supremo N* 078-2015,estado de emergencia,Art. 44 Constitución,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo N* 078-2015-PCM publicado el 12 de noviembre de 2015, mediante el cua",14562
Perú,2015-12-11,2015,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-412.pdf,Decreto Supremo N* 077-2015,estado de emergencia,Art. 44 Constitución,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo N* 077-2015-PCM publicado el 12 de noviembre de 2015, mediante el cua",7326
Perú,2016-03-22,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-033_No_7-5M-035.pdf,Decreto Supremo N* 003-2016,estado de emergencia,,seguridad/crimen,,,Internacional de la Secretaría de Asuntos Jurídicos de la Secretaría General de la Organización de los Estados Americanos saluda muy atentamente a los Estados p,11491
Ecuador,2016-04-19,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-149-2016.pdf,Decreto Ejecutivo No. 1101,estado de excepción,Art. 14 Constitución,desastre/salud,,"subnacional: Esmeraldas, Manabí, Santa Elena, Santo",Internacional de la Secretaría de Asuntos Jurídicos de la Secretaría General de la Organización de los Estados Americanos saluda muy atentamente a los Estados p,8255
Perú,2016-06-22,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-103_No_7-5-M-105_No_7-5-M-107.pdf,,estado de emergencia,,,,,Internacional de la Secretaría de Asuntos Jurídicos de la Secretaría General de la Organización de los Estados Americanos saluda muy atentamente a los Estados p,3900
Perú,2016-07-19,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-132_No_7-5-M-134_No_7-5-M-136.pdf,Decreto Supremo N* 045-2016,estado de emergencia,,,,,Internacional de la Secretaría de Asuntos Jurídicos de la Secretaría General de la Organización de los Estados Americanos saluda muy atentamente a los Estados p,3511
Perú,2016-09-04,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-176_No_7-5-M-178.pdf,DECRETO SUPREMO N* 066-2016,estado de emergencia,Art. 44 Constitución,seguridad/crimen,,nacional,Internacional de la Secretaría de Asuntos Jurídicos de la Secretaría General de la Organización de los Estados Americanos saluda muy atentamente a los Estados p,11100
Perú,2016-11-02,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5M-216.pdf,Decreto Supremo N* 076-2016,estado de emergencia,,,,,| para más gente 7 de noviembre de 2016 OEA/2,3432
Ecuador,2016-11-11,2016,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-248-2016.pdf,,estado de excepción,,desastre/salud,,"subnacional: Manabí y Esmeraldas, por los efectos",; | para más gente 16 de noviembre de 2016 OEA/2,3229
Ecuador,2017-01-12,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No-T-02-SGJ-17-0163.pdf,,estado de excepción,Art. 166 Constitución,desastre/salud,,nacional,"de la población tiene derecho a vivir en un ambiente sano y ecológicamente equilibrado que garantice la sostenibilidad y el buen vivir, sumak kawsay; Que el ar",7533
Ecuador,2017-01-23,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No-T-02-SGJ-17-0162.pdf,,estado de excepción,Art. 166 Constitución,desastre/salud,,nacional,"de la población a vivir en un ambiente sano y ecológicamente equilibrado que garantice la sostenibilidad y el buen vivir, sumak kawsay: Que cl articulo 396 de",8209
Guatemala,2017-06-19,2017,,notif_oea_art27,,,,,,,,,,0
Perú,2017-06-21,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-137.pdf,Decreto Supremo N* 063-2017,estado de emergencia,,,,,"Internacional- en ocasión a remitir para su debido conocimiento, copia del Decreto Supremo N* 063-2017-PCM, publicado el 08 de junio de 2017 en el diario oficia",1325
Perú,2017-06-27,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-167.pdf,Decreto Supremo N* 074-2017,estado de emergencia,Art. 44 Constitución,seguridad/crimen,,nacional,"Internacional- en ocasión a remitir para su debido conocimiento copia del Decreto Supremo N* 074-2017-PCM, publicado el 12 de julio de 2017 en el diario oficial",15049
Guatemala,2017-07-18,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_No_MV-M12-352-2017.pdf,,estado de sitio,Art. 38 Constitución,,,subnacional: Ixchiguán y Tajumulco del,"Humanos, informando que mediante Decreto Gubernativo número 3-2017, el Señor Jimmy Morales Cabrera, Presidente de la República de Guatemala, en Consejo de Minis",11621
Perú,2017-08-04,2017,7-5-M/165 y No. 7-5-M/167,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-165.pdf,Decreto Supremo N* 078-2017,estado de emergencia,Art. 44 Constitución,seguridad/crimen,,nacional,"Internacional- en ocasión a remitir para su debido conocimiento copia del Decreto Supremo N* 078-2017-PCM, publicado el 19 de julio de 2017 en el diario oficial",18588
Honduras,2017-12-02,2017,098/MHOEA/2017,notif_oea_art27,,,,,,,,,,0
Honduras,2017-12-13,2017,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Honduras_No_SG-098-MHOEA-2017.pdf,,,,seguridad/crimen,,,"Internacional con ocasión de remitir para su debido conocimiento copia del Decreto ++ PCM-084-2017, publicado en el Diario Oficial La Gaceta del 1 de diciembre",11628
Perú,2018-01-16,2018,7-5-M/006,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-006.pdf,Decreto Supremo N* 084-2017,estado de emergencia,Art. 137 Constitución,seguridad/crimen,,,"Internacional- a fin de informarle que mediante Decretos Supremos que se listas a continuación y se remiten en archivo adjunto, publicados en el diario oficial",15122
Jamaica,2018-01-24,2018,,notif_oea_art27,,,,,,,,,,0
Ecuador,2018-03-30,2018,4-2-104-2018,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-104-2018.pdf,Decreto Ejecutivo No. 349,estado de excepción,,,,nacional,"Humanos y, como alcance a la nota verbal No",4238
Ecuador,2018-04-30,2018,4-2-136-2018 con su respectivo anexo,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-136-2018.pdf,Decreto Ejecutivo No. 381,estado de excepción,Art. 1 Constitución,seguridad/crimen; orden público,,nacional,"Humanos y como alcance a la nota verbal No, 4-2- 104-2018, de 30 de marzo de 2018, tiene a bien adjuntar una copia del Decreto Ejecutivo No",7826
Perú,2018-05-22,2018,7-5-M/91,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-091.pdf,Decreto Supremo N* 048-2011,estado de emergencia,Art. 137 Constitución,,,,"Internacional- a fin de informarle que mediante Decretos Supremos que se listan a continuación y se remiten en archivo adjunto, publicados en el diario oficial",23695
Perú,2019-01-16,2019,7-5-M/005,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-005.pdf,,,Art. 2 Constitución,,,,"Internacional- a fin de informarle que mediante Decretos Supremos que se listan a continuación y se remiten en archivo adjunto, publicados en el diario oficial",3949
Perú,2019-05-02,2019,7-5-M/104,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-104.pdf,Decreto Supremo N* 041-2019,estado de emergencia,Art. 2 Constitución,seguridad/crimen,,nacional,"Internacional-, a fin de informarle que del 2 de abril de 2019 a la fecha, la Presidencia del Consejo de Ministros ha decretado los siguiente, respecto a Estado",19103
Ecuador,2019-07-03,2019,4-2-191-2019,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_No_4-2-210-2019.pdf,Decreto Ejecutivo No. 823,estado de excepción,Art. 1 Constitución,,,,"Internacional, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos y en alcance a la Nota No",12151
Ecuador,2019-07-17,2019,4-2-210-2019,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-295-2019.pdf,Decreto Ejecutivo No. 884,estado de excepción,Art. 1 Constitución,desastre/salud; seguridad/crimen; orden público,,nacional,"Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos, tiene a honra remitir para su",14160
Perú,2019-07-23,2019,7-5-M/156,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_No_7-5-M-156_2019.pdf,Decreto Supremo N* 074-,estado de emergencia,Art. 2 Constitución,seguridad/crimen,,nacional,"Internacional- a fin de informarle a fin de informarle que del 1 de mayo de 2019 a la fecha, la Presidencia del Consejo de Ministros de la República del Perú ha",19997
Guatemala,2019-09-06,2019,,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_MV-M12-No_461-2019.pdf,,estado de sitio,,,,"subnacional: Tactic, Senahú, Tamahú, Tucurú, Panzós,","Humanos, para hacer de su conocimiento que mediante Decreto Gubernativo número número 1-2019, el Señor Jimmy Morales Cabrera, Presidente de la República de Guat",11105
