pais,mes,anio,fuentes,excepcion
Chile,1976-09,1976,ONU,1
Uruguay,1979-07,1979,ONU,1
Colombia,1980-07,1980,ONU,1
Colombia,1982-10,1982,ONU,1
Ecuador,1983-05,1983,ONU,1
El Salvador,1983-11,1983,ONU,1
Ecuador,1984-03,1984,ONU,1
Colombia,1984-04,1984,ONU,1
Colombia,1984-06,1984,ONU,1
El Salvador,1984-06,1984,ONU,1
Colombia,1984-12,1984,ONU,1
El Salvador,1985-08,1985,ONU,1
Ecuador,1986-03,1986,ONU,1
Chile,1986-09,1986,ONU,1
Chile,1986-10,1986,ONU,1
Chile,1986-11,1986,ONU,1
Chile,1987-01,1987,ONU,1
Panamá,1987-06,1987,ONU,1
Panamá,1987-07,1987,ONU,1
Ecuador,1987-10,1987,ONU,1
Ecuador,1988-06,1988,ONU,1
Chile,1988-08,1988,ONU,1
Venezuela,1989-04,1989,ONU,1
Argentina,1989-06,1989,ONU,1
Argentina,1989-07,1989,ONU,1
El Salvador,1989-12,1989,ONU,1
Trinidad y Tobago,1990-11,1990,ONU,1
Suriname,1991-03,1991,ONU,1
Colombia,1991-08,1991,ONU,1
Venezuela,1992-02,1992,ONU,1
Venezuela,1992-05,1992,ONU,1
Colombia,1992-07,1992,ONU,1
Colombia,1992-11,1992,ONU,1
Venezuela,1992-12,1992,ONU,1
Venezuela,1993-03,1993,ONU,1
Colombia,1993-03,1993,ONU,1
Colombia,1994-05,1994,ONU,1
Colombia,1994-06,1994,ONU,1
Venezuela,1994-07,1994,ONU,1
Trinidad y Tobago,1995-08,1995,ONU,1
Venezuela,1995-09,1995,ONU,1
Colombia,1995-11,1995,ONU,1
Colombia,1996-03,1996,ONU,1
Colombia,1996-05,1996,ONU,1
Colombia,1996-06,1996,ONU,1
Colombia,1996-07,1996,ONU,1
Guatemala,1998-11,1998,ONU,1
Ecuador,1999-01,1999,ONU,1
Ecuador,1999-03,1999,ONU,1
Venezuela,1999-03,1999,ONU,1
Ecuador,1999-04,1999,ONU,1
Ecuador,1999-09,1999,ONU,1
Ecuador,1999-12,1999,ONU,1
Ecuador,2000-02,2000,ONU,1
Guatemala,2001-07,2001,ONU,1
Guatemala,2001-08,2001,ONU,1
Argentina,2001-12,2001,ONU,1
Argentina,2002-01,2002,ONU,1
Ecuador,2002-07,2002,ONU,1
Colombia,2002-08,2002,ONU,1
Colombia,2002-11,2002,ONU,1
Colombia,2003-02,2003,ONU,1
Jamaica,2004-09,2004,ONU,1
Jamaica,2004-10,2004,ONU,1
Ecuador,2005-08,2005,ONU,1
Guatemala,2005-10,2005,ONU,1
Ecuador,2006-04,2006,ONU,1
Guatemala,2006-09,2006,ONU,1
Guatemala,2006-12,2006,ONU,1
Perú,2007-01,2007,ONU,1
Perú,2007-02,2007,ONU,1
Perú,2007-03,2007,ONU,1
Perú,2007-04,2007,ONU,1
Perú,2007-06,2007,ONU,1
Perú,2007-07,2007,ONU,1
Jamaica,2007-08,2007,ONU,1
Perú,2007-09,2007,ONU,1
Perú,2008-01,2008,ONU,1
Perú,2008-02,2008,ONU,1
Perú,2008-03,2008,ONU,1
Perú,2008-05,2008,ONU,1
Guatemala,2008-05,2008,ONU,1
Guatemala,2008-06,2008,ONU,1
Perú,2008-07,2008,ONU,1
Perú,2008-08,2008,ONU,1
Perú,2008-09,2008,ONU,1
Guatemala,2008-10,2008,ONU,1
Colombia,2008-10,2008,ONU,1
Perú,2008-11,2008,ONU,1
Perú,2008-12,2008,ONU,1
Perú,2009-01,2009,ONU,1
Perú,2009-03,2009,ONU,1
Guatemala,2009-04,2009,ONU,1
Perú,2009-04,2009,ONU,1
Guatemala,2009-05,2009,ONU,1
Perú,2009-05,2009,ONU,1
Perú,2009-06,2009,ONU,1
Perú,2009-07,2009,ONU,1
Perú,2009-09,2009,ONU,1
Perú,2009-11,2009,ONU,1
Perú,2010-01,2010,ONU,1
Guatemala,2010-02,2010,ONU,1
Bolivia,2010-03,2010,ONU,1
Guatemala,2010-03,2010,ONU,1
Chile,2010-03,2010,ONU,1
Perú,2010-04,2010,ONU,1
Guatemala,2010-04,2010,ONU,1
Paraguay,2010-04,2010,ONU,1
Perú,2010-05,2010,ONU,1
Guatemala,2010-05,2010,ONU,1
Jamaica,2010-06,2010,ONU,1
Guatemala,2010-06,2010,ONU,1
Guatemala,2010-07,2010,ONU,1
Guatemala,2010-08,2010,ONU,1
Perú,2010-08,2010,ONU,1
Colombia,2010-08,2010,ONU,1
Perú,2010-09,2010,ONU,1
Perú,2010-11,2010,ONU,1
Guatemala,2010-12,2010,ONU,1
Guatemala,2011-01,2011,ONU,1
Guatemala,2011-05,2011,ONU,1
Guatemala,2011-06,2011,ONU,1
Guatemala,2011-07,2011,ONU,1
Guatemala,2011-08,2011,ONU,1
Guatemala,2011-09,2011,ONU,1
Trinidad y Tobago,2011-09,2011,ONU,1
Guatemala,2011-10,2011,ONU,1
Perú,2011-12,2011,ONU,1
Trinidad y Tobago,2011-12,2011,ONU,1
Perú,2012-05,2012,ONU,1
Perú,2012-06,2012,ONU,1
Guatemala,2012-06,2012,ONU,1
Perú,2012-07,2012,ONU,1
Perú,2012-08,2012,ONU,1
Perú,2012-10,2012,ONU,1
Guatemala,2012-11,2012,ONU,1
Perú,2012-12,2012,ONU,1
Guatemala,2012-12,2012,ONU,1
Guatemala,2013-01,2013,ONU,1
