pais,fecha,anio,fuente,tipo,evento,detalle,causa,ref,url,texto,dup_cross
Chile,1976-09-07,1976,ONU Art.4,estado de sitio,declaración,,,,,"[Chile] has been under a state of siege for reasons of internal defence since 11 March 1976; the state of siege was legally proclaimed by Legislative Decree No. 1.369. The proclamation was made in accordance with the constitutional provisions concerning state of siege, which have been in force since 1925, in view of the inescapable duty of the government authorities to preserve public order and the fact that there continue to exist in Chile extremist seditious groups whose aim is to overthrow the established Government. As a consequence of the proclamation of the state of siege, the rights referred to in articles 9, 12, 13, 19 and 25 (b) of the Covenant on Civil and Political Rights have been restricted in Chile.",
Uruguay,1979-07-30,1979,ONU Art.4,derogación PIDCP,otro,,,,,"[The Government of Uruguay] has the honour to request that the requirement laid down in article 4 (3) of the International Covenant on Civil and Political Rights should be deemed to have been formally fulfilled with regard to the existence and maintenance in Uruguay of a public emergency as referred to in article 4 (1). This emergency situation, the nature and consequences of which match the description given in article 4, namely that they threaten the life of the nation, is a matter of universal knowledge, and the present communication might thus appear superfluous in so far as the provision of substantive information is concerned. This issue has been the subject of countless official statements at both the regional and the international level. Nonetheless, [the Government of Uruguay] wishes both to comply formally with the above-mentioned requirement and to reiterate that the emergency measures which it has taken, and which comply strictly with the requirements of article 4 (2), are designed precisely to achieve genuine, effective and lasting protection of human rights, the observance and promotion of which are the essence of our existence as an independent and sovereign nation. Notwithstanding what has been stated above, the information referred to in article 4 (3) concerning the nature and duration of the emergency measures will be provided in more detailed form when the report referred to in article 40 of the Covenant is submitted, so that the scope and evolution of thes",
Colombia,1980-07-18,1980,ONU Art.4,estado de sitio,fin/levantamiento,,,,,"The Government, by Decree 2131 of 1976, declared that public order had been disturbed and that all of the national territory was in a state of siege, the requirements of the Constitution having been fulfilled, and that in the face of serious events that disturbed the public peace, it had become necessary to adopt extraordinary measures within the framework of the legal régime provided for in the National Constitution for such situations (art. 121 of the National Constitution). The events disturbing the public peace that led the President of the Republic to take that decision are a matter of public knowledge. Under the state of siege (art. 121 of the National Constitution) the Government is empowered to suspend, for the duration of the state of siege, those provisions that are incompatible with the maintenance and restoration of public order. On many occasions the President of the Republic has informed the country of his desire to terminate the state of siege when the necessary circumstances prevail. It should be observed that, during the state of siege in Colombia, the institutional order has remained unchanged, with the Congress and all public bodies functioning normally. Public freedoms were fully respected during the most recent elections, both the election of the President of the Republic and the election of members of elective bodies.",
Colombia,1982-10-11,1982,ONU Art.4,estado de sitio,fin/levantamiento,,,,,"By Decree No. 1674 of 9 June 1982, the state of siege was terminated on 20 June of 1982.",
Ecuador,1983-05-12,1983,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"The Government declared the extension of the state of emergency as from 20 to 25 October 1982 by Executive Decree No. 1252 of 20 October 1982 and derogation from article 12 (1) owing to serious disorders brought about by the suppression of subsidies, and termination of the state of emergency by Executive Decree No. 1274 of 27 October 1982",
El Salvador,1983-11-14,1983,ONU Art.4,suspensión de garantías,extensión,,,,,"(Dated 3 November 1983) The Government has declared an extension for a period of 30 days of the suspension of constitutional guarantees by Legislative Decree No. 329 dated 28 October 1983. The constitutional guarantees have been suspended in accordance with article 175 of the Political Constitution because of disruption of public order. In a complimentary notification dated 23 January 1984 and received on 24 January 1984, the Government of El Salvador specified the following: 1) The provisions of the Covenant from which it is derogated are articles 12 and 19 by Decree No. 329 of 28 August 1983, and article 17 (in respect of interference with correspondence); 2) The constitutional guarantees were first suspended by Decree No. 155 dated 6 March 1980, with further extensions of the suspension for a total of 24 months. Decree No. 155 was modified by Decree No. 999 dated 24 February 1982, which expired on 24 March 1982. By Decree No. 1089 dated 20 April 1982, the Revolutionary Government Junta again suspended the constitutional guarantees. By Legislative Decree No. 7 dated 20 May 1982, the Constituent Assembly extended the suspension for an additional period of 30 days. The said Legislative Decree No. 7 was itself extended several times until the adoption of the above-mentioned Decree No. 329 dated 28 October 1983, which took effect on that date. 3) The reasons for the adoption of the initial suspension decree (No. 155 of 6 March 1980) were the same as for the adoption of the subs",
Ecuador,1984-03-20,1984,ONU Art.4,estado de emergencia,declaración,,,,,Derogation from articles 9 (1) and (2); 12 (1) and (3); 17; 19 (2) and 21 in the provinces of Napo and Esmeraldas by Executive Decree No. 2511 of 16 March 1984 owing to destruction and sabotage in these areas.,
Ecuador,1984-03-29,1984,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,Termination of the state of emergency by Executive Decree No. 2537 of 27 March 1984.,
Colombia,1984-04-11,1984,ONU Art.4,estado de sitio,declaración,,,,,"(Dated 30 March 1984) The Government of Colombia had declared a breach of the peace and a state of siege in the territory of the Departments of Caquetá, Huila, Meta and Cauca in response to the activities in those Departments of armed groups which wereseeking to undermine the constitutional system by means of repeated publidisturbances. Further to Decree No. 615, Decree Nos. 666, 667, 668, 669 and 670 had been enacted on 21 March 1984 to restrict certainreedoms and to take other measures aimed at restoring public order. (For the provisions which were derogated from, see in fine notification of 8 June 1984 hereinafter.)",
Colombia,1984-06-08,1984,ONU Art.4,estado de sitio,declaración,,,,,"(Dated 7 May 1984) The Government of Colombia indicated that it had, through Decree No. 1038 of 1 May 1984, declared a state of siege in the territory of the Republic of Colombia owing to the assassination in April of the Minister of Justice and to recent disturbances of the public order that occurred in the cities of Bogotá, Cali, Barranquilla, Medellín, Acevedo (Department of Huila), Corinto (Department of Cauca), Sucre and Jordon Bajo (Department of Santander), Giraldo (Department of Antioquia) and Miraflores (Comisaría of Guaviare). Pursuant to the above-mentioned Decree No. 1038,the Government had issued Decrees Nos. 1039 and 1040 of 1 May 1984 and Decree No. 1042 of 2 May 1984, restricting certain freedoms and enacting other measures to restore public order. The Government of Colombia, in a subsequent communication dated 23 November 1984, indicated that the decrees affected the rights referred to in articles 12 and 21 of the Covenant.)",
